Tweets,Likes,Retweets,Sentiment,User,Location
"@LyfPay j'alerte nos soldats français que cette guerre
n'est pas la notre
n'allez pas vous faire tuer pour des histoires
biden  ukraine Russie
à part foutre le bordel pour sauver leurs papiers chiottes
dollard , les américains foutent le chaos partout pour défendre LEUR RIEN
y'en à marre",0,0,0,hamster,
"Comrie's Wild Hearth Bakery hopes to raise £100,000 through new Bake with Ukraine campaign

https://t.co/Gfdco8JC03",0,0,1,Scotsman food&drink,Scotland
‘Your freedom is ours’: Biden affirms allegiance to Poland https://t.co/zS3a3r34TR,0,0,0,WKBN 27 First News,"Youngstown, OH"
@mattdel83 @REALMcCoyyyyy @RonPaul Oh yes I believe it ! Because Ukraine is one of the most corrupt countries of the world and it fits to US !,0,0,0,Sport and Politics,
"@NoSethArmstrong I think part of the problem is because people can't admit they were wrong. They just move the goal posts ie okay, Ukraine has Nazis, but so does everyone else. Or saying that Roma deserved to be bound and paint thrown on her face because she obviously stole something in her life",0,0,0,Robert Shmigelsky,
"@mfa_russia @StateDept @RussiaUN @RusEmbUSA @USEmbRu @RusCons_TX @Dpol_un @RusConsulateDC Employees of this #Ministry. You are serving a criminal regime that is causing #WarCrimes in #Ukraine. Lay down your duties, as blood is already on your hands. Keep that in mind while walking on our streets.",0,0,-1,Aurelius,
"Read this all you who are bothered by fighting in Ukraine.
This is what us grown ups have been fighting agaist for years... just wake up and look at the leaders of these evil politicians inflicting this on others https://t.co/3FEXIH5IYF",0,0,-1,John Smith (a.k.a Phil),"London , United Kingdom"
Biden looks to bolster Ukraine and aid neighboring Poland with refugee surge - The Wall Street Journal https://t.co/0wFUd0ghLx,0,0,0,Donna Wheeler,"Lexington, KY"
"Lebanese President Michel Aoun says Iranian Foreign Minister Hossein Amir-Abdollahian has assured him of Tehran's readiness to support Beirut in all fields, “most notably in the provision of wheat” amid the ongoing conflict between Russia and Ukraine, two main exporters of wheat.",0,0,1,Middle East News,
"Merkel und Putin 🤢

Krieg in der Ukraine: Ganz nah an Putin: Merkels besondere Beziehung zum Kreml | Augsburger Allgemeine https://t.co/Ig5Tad85AY",0,0,0,Prof. Dr. Wolfgang Baumann,"Nordrhein-Westfalen, Deutschland"
Iran FM assures Lebanon president of readiness to supply wheat amid Ukraine crisis/Press TV https://t.co/3qkndwuvqk,0,0,0,Middle East News,
"Ukraine war: Russian forces seize town where Chernobyl workers live and kidnap mayor, local officials claim https://t.co/hpfH20z1qA",0,0,1,ef.anderson,Scotland
"@POTUS Well - if the US would have said that it would not work with Ukraine to continue its integration into NATO none of this bloodshed would have happened. Instead of deescalating the tension, Biden did the opposite. The pic is nice, though - the Fuehrer loved children and animals too",0,0,1,The Incorruptible,
"@McGuinnessEU @MinFin_Ukraine @EU_Finance @eurireland @Kabmin_UA_e @EUDelegationUA Stop any traffic of goods and transport from/to the russian federation. Show your support in actions! This step will help russians understand that all people are united in their support for peaceful and independent #Ukraine !
#banrussia",0,0,1,Pavlo🇺🇦,Україна
Krieg: Bataillon aus Belarus soll sich der Ukraine angeschlossen haben https://t.co/tE8xhXYx92,0,0,0,tonline_news,Berlin
"@Sirius4Loki @KyivIndependent How do you figure that? The blast would not rebound to Moscow, it would be here in North America.
Jenna, not one thinks he would use a nuke against Ukraine, he would retaliate against the US which is far away, for interfering.  Also, we would not simply level Moscow p1",0,0,1,Gamora_Blaze ☀️💚,
President Biden in Poland for meetings on Ukraine refugee crisis https://t.co/NWMvBJ8Z7O,0,0,0,FOX 5 DC,Washington DC
"@POTUS The one who can't fight terrorist in Afghanistan...
That one
Making
Ukrainian and Ukraine fool....for his purpose...!

🤣🤣😂",1,0,0,🇮🇳 आलोक,unknown
"150 years ago, my father’s family fled Russia (now Ukraine) to find religious freedom. They settled around Goessel, Kansas, and brought with them the grain that turned Kansas into the breadbasket of the world: Turkey red wheat. https://t.co/OtoLxIpjh4",0,0,0,Patrick Schmidt,"Topeka, KS"
"@Amb_Ulyanov @Amb_Ulyanov this is called ""propaganda"".

You are aggressors there. Of course you will find pro russian people there but that don't justify your war in Ukraine.

Don't be afraid to call it properly - THIS IS WAR.

Would Putin put you in jail for admitting this @Amb_Ulyanov ?",0,0,-1,Arbiter Elegantiarum,Polska
HETMAN an SAS THRILLER set in #Ukraine #UK #Austria #Transdniester #Moldova  - on #BookBuz - https://t.co/63VUKN2iFL,0,0,0,Hetman Publishing,England
"*میڈیا والے یوکرین کی لاشیں دکھا رہے تھے...*
*اچانک ایک سمجھدار لاش کفن ٹھیک کرنے لگی...*😝😆🤣👆
What a funny dead body &amp; funny fake news by #Ukraine media.. #Russia is doing good.👍 https://t.co/sGKHVwmvJV",0,0,1,Muzammil Qureshi,"Pakistan, Lahore"
"Les frappes ont visé un quartier est de la ville, Lytchakivsky, sans qu'on sache exactement quel type de bâtiment ou infrastructure avait été touché

#Ukraine 
https://t.co/PIRbtv24P6",0,0,0,La Provence,Marseille
"@joerichlaw @hairychesters @BorisJohnson Maybe the mentions were along the lines of ""EU has failed to help Ukraine"", ""EU continues to pay money to Russia"".  Mention isn't always positive",0,0,-1,tashatam,"South West, England"
"Russian insanity:

Russia reasserts right to use nuclear weapons in Ukraine

Senior politician Dmitry Medvedev says Moscow’s nuclear doctrine does not require enemy state to use such weapons first
#StandWithUkraine 
#FlushPutinDownTheDrain 💩

https://t.co/C3VciCE9OH",0,0,1,Anton Hein,"Amsterdam, Netherlands"
"Complete disarray among the Russian State TV Hosts &amp; expert guests to the Point of screaming matches and hysteria

“What’s our plan? Everything is bad, nothing is working out?” TV Host Skabeeva angrily questioned Tretyakov
https://t.co/d1zgyZNzWi via @thedailybeast",0,0,-1,Bob Paul, 🇺🇦 Canada 🇨🇦 
"When I wanna know who is the bad guy in a conflict I look at who the Jews support.

They support Ukraine.

And, yeah, Zhidensky was planted there as a means of the West to be able to say: What Nazis? Look at their president!",0,0,-1,Dimitri Bagdasar,
US volunteer soldiers appear in Ukraine frontline footage https://t.co/XB8eLRkQq3 via @YouTube,0,0,0,Ismael Cruz,"Colorado Springs, CO"
HKS's Matthew Bunn discusses Russia’s potential use of chemical and biological weapons in Ukraine and how the West may respond https://t.co/gTraH1IUYV,0,0,0,Harvard Kennedy School,"Cambridge, MA, USA"
"""Les exploités représentent une force considérable capable de renverser cet ordre social mondial immonde. Ce qui leur manque, c’est de retrouver le moyen de s’organiser et de s’unir pour se battre pour leurs intérêts de classe"" https://t.co/XsJvp3E2vZ #editoLO (21 mars 2022)",0,0,1,recriweb,@LutteOuvriere #archiveLO
@richimedhurst Nato is a purely defensive organisation and what russia has done is to confirm to ukraine and all other nations along the russian border that they do indeed need to fear russia and therefore join an alliance such as nato. Dont start defending russia!! Putin is the criminal here!,0,0,-1,Steve B. Robinson,Leicestershire
Putin's bombers could devastate Ukraine but he's holding back. Here's why https://t.co/PTeefTY8Vm,0,0,0,Thomas Bradley,
Most people were not taught how to debunk fake news &amp; practice informational hygiene. Critical thinking &amp; emotional resilience may be some of the key competencies our generation needs to learn. https://t.co/uJbyoLMIpz @citizenlab @Liberationtech,0,0,0,Waging Nonviolence,"New York, NY"
@mikecompetition @EvansEsquire @BellaWallerstei Do you have the  number of Ukraine tanks and weapons that have been donated to separatest  regions,0,0,0,mwenda Gitonga,"Meru, Kenya"
"The #Russian #invasion of #Ukraine began on February24 and the following #HumanitarianCrisis has affected many Canadians, Canada is expecting a significant number of Ukrainian refugees, You can directly support by donating to the organizations like UN Refugee Agency
Learn more: https://t.co/EZNnA6Zz8j",0,0,1,Canada Confesses,Canada 
"Some 25,000 people live in the town 160 kilometres (99 miles) north of Kyiv, built after the 1986 Chernobyl nuclear power plant accident.

#RussiaUkraineWar
 https://t.co/TzTb6MXSVT",0,0,1,WION,India
"En l'espace d'un mois, plus de 3 millions de personnes ont fui l'Ukraine.

Face à cette situation, l'Union européenne 🇪🇺 a pris la décision historique d'accorder aux réfugiés en provenance d'Ukraine une protection temporaire en Europe ↓

#StandWithUkraine #EUSolidarity https://t.co/8QkC4DORKz",0,0,0,Commission européenne 🇪🇺,"Paris, France"
".@donnabrazile, @JeffreyGoldberg, @vmsalama &amp; @RameshPonnuru join the roundtable to discuss those extraordinary texts between Ginni Thomas and Mark Meadows, the confirmation hearings for Judge Jackson and the impacts of the Russia-Ukraine war @ThisWeekABC https://t.co/Szu09BRDRU https://t.co/VyOxue38fw",0,0,1,This Week,
"Canada’s complicated immigration process strands family fleeing war-torn Ukraine 

#National

https://t.co/AK9ncUBqMA

#UkraineRussiaWar #Ukraine #CanadaStandsWithUkraine #Soccer",0,0,-1,The Pointer - Mississauga,"Mississauga, ON"
"15-year-old Masha made it out of the besieged city of Mariupol — but had her right leg amputated after it was torn apart in a Russian airstrike.

Her doctor says she is so traumatized, she couldn’t eat for days. https://t.co/CGLuEr25IB https://t.co/zx3xc1Vbqe",0,0,1,CBS Mornings,United States
"Some thoughts on #Ukraine from a #caregiver @PalmGardenHC  ""from the end of the earth I call to you when my heart is faint. Lead me to the rock that is higher than I."" Psalm 61:2 We've our #PalmsUpinPrayer for the citizens under attack in Ukraine. #ukraynarusya #WeArePalmGarden https://t.co/NYTHHXpkAL",0,0,-1,Palm Garden,"Florida, USA"
@leithfadel they are afraid Russia could encourage the Serbs to try some shit over there I suppose (some even say after Ukraine the Balkans will boil up again - especially Kosovo and Bosnia),0,0,-1,-- GEROMAN -- 👀 -,Milky Way
@Marta_Logina  ill help russians understand that all people are united in their support for peaceful and independent Ukraine! https://t.co/vOVX5ZSFyB,0,0,-1,Євген Черкасов,
Republicans are backing Ukraine in the war. So why is there support for Russia on America's far right? https://t.co/hW6FyUVZJV Where racism rears its ugly head and gaslights us with propaganda. #The2022MidtermsProject,0,0,-1,omello0101 was me,Somewhere CT
@QqA3P65LcpOgakk Straight from da Ukraine ✅%,0,0,1,Dark_Moon1,
"@UPR_Asselineau Rappelez donc le nombre de pays de l'ONU ayant voté en faveur de la résolution condamnant l'invasion de l'Ukraine par la Russie et le nombre de pays ayant voté contre (et le nom des pays ayant voté contre, car c'est le plus drôle). Merci ;).",0,0,0,Arnaud Heulin,
World food supply faces ‘disaster upon catastrophe’ because of Russian invasion https://t.co/qvQb3XkUb1,0,0,0,Sarah Sargent,
When will this end? Pick a narrative. I thought we've established that Ukraine has encircled Russian military?? https://t.co/W0EXnoNGWn,0,0,-1,Champagne_⚽💙,
When Putin is finished with the Ukraine it'll be like the Saharan desert.,0,0,0,The Speaker,
#gapol #BreakingNews  #Ukraine https://t.co/Evgypfy0xm,0,0,0,Debbie@TheWayToNotElectRepublicans,"Atlanta, GA"
"I applaud @POTUS for speaking the truth. Somebody has to. Now act with the same conviction to save Ukraine. 

The free world depends upon Ukraine winning this unjustifiable barbaric war against a brutal invader. https://t.co/7kAQyQNW85",0,0,1,🌻Justine the Uppity Woman #RevolutionOfDignity 🌻,"Take the North Star, turn left"
More than 200 oil tankers have left Russian ports since Ukraine invasion began https://t.co/yNtHTs5k6c,0,0,1,Stewart Dickson CF 🇺🇦,"Carrickfergus, East Antrim NI"
"@mfa_russia Employees of this #Ministry. You are serving a criminal regime that is causing #WarCrimes in #Ukraine. Lay down your duties, as blood is already on your hands. Keep that in mind while walking on our streets.",0,0,-1,Aurelius,
"@bmckenz44559503 @ndtv He must be rather accustomed to being hated and avoided!
I say invite Ukraine, then see how he twists all around trying to avoid going THEN.  HA!  fk you BACK,  Shorty! 🖕",0,0,-1,Not.a.Fakir,Deep South...  Native Atlanta 
@Marta_Logina Ukraine. Every ruble that falls into the taxes of russia turns into tears and deaths of Ukrainian children. Stop it! Stop any traffic of goods and transport from/to the russian federation. Show your support in actions! This step w,0,0,0,Євген Черкасов,
@wolfblitzer I feel that Biden should stop the name calling unless he’s willing to take an more offensive stance. Otherwise Ukraine remains Putin’s punching bag to make Biden pay for his remarks. Either get in the ring &amp; fight or remain in the counter w/a towel &amp; help wipe off the blood!,0,0,1,Timothy Dransart Sr.,"Ventura, CA"
Russia spread anti-vax lies in Ukraine. Will it cause a COVID crisis for Europe? - Los Angeles Times https://t.co/8t7v7sylP5,0,0,0,Stephanie,
"(739) Putin launches two missiles at Lviv fuel depot during Biden's visit to Poland, apparently as a brush back pitch, or a shot across the bow, depending on your metaphor preference.

https://t.co/6CzZtX7Ml9 https://t.co/0VAuCviqtZ",0,0,1,Magilla Gorilla 39,Mr. Peeble's Pet Shop
#Ukraine https://t.co/8vsehlUKgZ,0,0,0,Jack Torry,"Washington, DC"
Shizzit’s getting very real.  https://t.co/6deoROyCYI,0,0,1,Frannie,"Scottsdale, AZ"
Russian soldiers release Ukraine town’s mayor and agree to leave after protests https://t.co/h9mvaO9onM,0,0,0,Ipomea - Slava Ukraini 🇺🇦🐝,New York
"@thecableng @HETimipreSylva Na by mouth?
You said you don't have gas to power your electricity, and here this one is saying he wants to fill the gap created by the Russia-Ukraine war!

Who are these people!!!!",0,0,1,Omeokachie,
Papst: Dieser Krieg ist eine Schande für die ganze Menschheit - Vatican News https://t.co/YS2bwZfe26,0,0,0,Franz W.Winterberg,Ilfeld und ganz Europa
"@Marta_Logina Every day people die in Ukraine because of the war that russia started. Ask your followers to urge your government to stop providing services for russian transport, do not let the trucks cross the border. We urge you to stop contributing into deaths of innocents in",0,0,0,Євген Черкасов,
Watergate was child’s play compared to what Hunter Biden was doing in Ukraine,1,0,0,K!LLA CAM 🌺🇺🇸⏳,the Empire of Lies
@RWApodcast Not the way I pictured Ukraine in winter or early spring.,0,0,1,JP Picchiottino 🇫🇷🇪🇺🇺🇸🇺🇦🌻,
Österreich will dem von der Flüchtlingswelle aus der Ukraine besonders betroffenen Polen helfen und Flüchtlinge aufnehmen.  https://t.co/OZ5MgDHWOE,1,1,0,Wiener Zeitung,Wien
"Putin or his close people to read? This is the shit your soldiers(hah) doing!!  Pigs, monsters, thrives and murderers if children and women.  💩 &lt;you R all  LESS THAN!

A beekeeper, a builder and a homeless man: The civilian victims of Putin's invasion
https://t.co/pWvjaeCWHr",0,0,-1,KShotz,"Scranton, Pa"
"""President Biden called President Vladimir V. Putin of Russia “a butcher” on Saturday, in response to a question after meeting with Ukrainian refugees in Warsaw, including several from Mariupol"" https://t.co/5jgtdjaZDb",0,0,0,Pavel Fedenko,London
"Five wounded after rocket strikes hit Ukraine&amp;#8217;s western city of Lviv, says governor https://t.co/nrKGGlFcSJ via FXEmpire #forex #fx",0,0,0,BlackCentaurFX,
Thousands of Russians in Prague protest against war in Ukraine https://t.co/XG5qoA61Ta via FXEmpire #forex #fx,0,0,0,BlackCentaurFX,
He's got charges in Ukraine? https://t.co/3rYQj1dfjo,0,0,0,Land It,
Stop any traffic of goods and transport from/to the russian federation. Show your support in actions! This step will help russians understand that all people are united in their support for peaceful and independent Ukraine! https://t.co/2jwGCLKtQT,0,0,1,Cергей,
"@cnni 
Dear CNN, please, do not work on Russia!  In your live broadcasts you show the scenes of rocket attacks, you help the enemy to adjust the fire.  Do you want our death? In Ukraine there is a criminal liability for such actions. #stoprussianaggression",0,0,-1,Kramarenko Mariia,
"@POTUS While US &amp; EU focus on Ukraine Saudi faces existential threat fro Iran thru their Yemeni proxies, Houtis..World cud be a worse place if Saudi oil facilities go up in smoke @POTUS @SecDef @IsraelMFA @BorisJohnson @nytimes @AtlanticCouncil @atahasnain53 @Chellaney @naftalibennett",0,0,-1,Suresh Kumar,
Archangel Michael please help the Ukrainian people. Bring an end to Putin's war. #Ukraine 🇺🇦 🙏🙏🏽🙏🏿 https://t.co/VV0MR1boRW,1,0,0,Dorothy Murray,
@worldflood1 It's unbelievable just how many people believe the Russian propaganda. I had to distance myself from several UK acquaintances because they were parroting the lies and justifying the Russian invasion siting the 2016 Oliver Stone film Ukraine on Fire.,0,0,1,JM Parker 🇺🇦,Stolen Chumash land
"I hope that Russia-Ukraine demonstrates to Americans that the clowns who spend 24/7 picking culture war fights are fundamentally unserious people. 

But especially the people who thought that Putin's ""alpha masculine"" army would roll over the ""woke"" west.",0,0,1,E R,
@News24 @BISouthAfrica Who can face Russian soldiers in Ukraine 😂😂😂😂,0,0,0,NeneD-pro,"Pretoria, South Africa"
"@ArmedForcesUkr Translated:

Defenders of Ukraine do not sit idle !!!
Have free time working on yourself!
Believe in the Warriors of Ukraine!
Victory belongs to the strong!",0,0,1,Arson Cole,
@Podolyak_M Right. As if the slaughterhouse you’re putting your troops through in Ukraine would have a better chance against NATO. Slavs Ukraini!,0,0,1,Hindsight and the plague are 2020/21/22,"The land of 973,000+ dead"
"@VSinkevicius Stop any traffic of goods and transport from/to the russian federation. Show your support in actions! This step will help russians understand that all people are united in their support for peaceful and independent #Ukraine !
#banrussia",0,0,1,Pavlo🇺🇦,Україна
"The invasion of Ukraine is an 'unmitigated disaster' for Putin, former US ambassador says. He's losing his petty war and is facing sanctions. Yep, disaster. https://t.co/OrbU6AyXg8",0,0,0,Lori Lee 🇺🇦,"Colorado,  USA "
"@SamRamani2 Schröderings Russians: Totally losing and almost defeated by Ukraine, yet still advancing and encircling cities.",0,0,0,Plebejer,
"Chinese President Xi Jinping urged the world to promote peace talks regarding Ukraine crisis during a phone talk with British Prime Minister Boris Johnson on Friday.
 #cgtnamerica https://t.co/yqtr8xUQSZ",1,0,0,CGTN,"Beijing, China"
"@Alphanumrique2 Elle ignore sans doute que l'Ukraine est une plaque tournante très importante du trafic d'enfants ( entre autres!) 
La GPA érigée en institution, les mères porteuses abandonnées après l'accouchement, les bébés installés en batterie comme des poules en attendant d'être "" achetés """,0,0,1,Gahery Christine,"Allier, Auvergne"
@TheStudyofWar Attacks are happening now in #Lviv western #Ukraine,0,0,0,Nonilex 🇺🇦,everywhere
"Commander In Chief 
#poland #ukraine #russia #biden #foxnews #newsmax #oof https://t.co/UQMLX8WucE",0,0,0,American,
"@zypisfy @SecularSandwich @RossGilroy @bex_fur @OnlyaMoment3 @BentDepraved @Avic_Wins @Cern_lXXl @WondersNorbit @Melanie33720945 @TertiusIV @Chortling_Man @StillDizzy2 @mikeresister @A_Damned_smith @1pckt @hubie0 @peter_telecom @WmManry @Felix_Cat7 @dirk_fasshauer @kim_because @Raven4212 @kraegkust @pray2pesci @Simple_Shaman @SkepticSplinter @Wolfpak561 @LeannEAF @duyajek_viminov @MucusMucous @Wally_Wego @badgervindaloo @Godfly__ @PraiseHisName50 @Ah_Science @JELLYFISHMOON1 @TakeThatDarwin @zapher134 @Projectedsouli1 @alan244g @tk_the_kitsune @RavenLove69 @kester_lowers @DoubleDumas @Janetb172 @Adzam112 @globalist13903 @BenefactrChurch @HowzitgoinSunny It's not that we are ready to use nukes, but that Putin has said if any other nation, NATIO, EU, etc., puts boots on the ground in Ukraine, he will use his nukes.",0,0,1,realsandy,"California, USA"
"Russia and Ukraine Are Fighting for the Legacy of World War II
Both countries draw on potent wartime myths. https://t.co/5t7tSazOdb",0,0,1,Jerome Chenu,
"@seanhannity Interesting, considering this administration pretty much looks at Elon Musk like Putin looks at the Ukraine being a sovereign nation… non existent!",0,0,1,Gerald Persilver,"Plaquemine, La."
@sentdefender Putin’s not just going to leave the west of Ukraine alone just because he’s focusing on the east.,0,0,0,"Grumpus Aurelius, PhD (🇨🇦,🇫🇷,&🇺🇦)","Ram Ranch, Canada"
@ArberTweets HOW EU REACT TO RUSSIA'S ACTION ON UKRAINE AZOV NAZIS. https://t.co/WGLDCAI6zc,0,0,1,UYGHUR TRIBUNAL CROSS EXAMINATION COMMITTEE,
"@pevchikh Córeczki żyją jak księżniczki,a tatuś Ławrow i Putin burżuje chciwce mordują Ukrainę,zabijane są dzieci ,kobiety ,ludzie starsi,Rosjanie mordują,gwałcą kobiety,Faszysści z Rosji a to ich potomkowie żyją jak księżniczki i pokazują swoje dupy.",0,0,0,Kasia Balu,
"1. Putin: ""kiev was not the target, only eastern ukraine"".
2. Time: ""cant sue putin"".
3. Bloomberg: ""cant recalibrate their reliance"".

This sounds a lot like they have done some deal, but cant say it publicly. https://t.co/nA9OtyRaTW",0,0,0,Fortis Est Veritas,
@sirrelkinstein they're just using the ukraine situation as a excuse to raise the prices ngl,0,0,-1,QC | Ret,hell
"Ukraine's Lviv Hit By Rockets, Biden Calls Putin ""Butcher"": 10 Points https://t.co/iHWBBPCigz via @ndtv #UkraineUnderAttaсk #RussianUkrainianWar",0,0,0,Shrimant Mane,Nagpur
"@POTUS Will you speak the truth: that you support genocide in Ukraine? You have reiterated that sanctions will not deter for months to years and NATO will not save Ukraine. NATO/ US intervened in Bosnia, Kosava, Syria, Afghanistan, Lybia, Nicaragua, El Salvador. Why do you hate Ukraine?",0,0,-1,Lily Sheldon,
"Crowds have gathered in Amsterdam, to joint protest the atrocities being carried out against the people of Burma and Ukraine.
#WhatsHappeningInMyanmar 
#ICRC_HelpYouthActivists 
#2022Mar26Coup https://t.co/13KNwRxipu",0,0,0,Maria,
@JudyMornings @RedCaptain030 @EinstEinAdler Hey selbst ich als inschenör verstehe Schlamm ^^ https://t.co/d5n1F6GrMk,0,0,0,Sven Uckermann,127.0.0.1
@NatashaBertrand Putin invades Ukraine and Biden is the bad guy? Pure gaslighting,0,0,-1,Brewmeister 🇺🇸🇺🇦,
"@Famgavr Sie werden verstehen, dass zwischen Recht (ausgehend vom Staat) und Selbstjustiz unterschieden wird, darauf bezog sich der Kommentar, Lynchen ist ein Rechtsbruch - auch in der Ukraine Oder denken Sie, dass es ein Recht auf Tötung gibt, wenn ein Mord hierzulande verübt wird?",0,0,0,Natalie_Frosch,Planet Ocean
"@willcarless and @jguynn concoct a story of Republican support for Putin without quoting a single Republican supporting Putin.

#FakeNews taken to astounding levels.

Isolationism is not support for Putin.

https://t.co/EYFEhXfgAC",0,0,1,Draw My Character,"Houston, TX"
@RosieB2019 @triinhertmann We shouldnt give a shit what Russia thinks - if NATO had stationed troops and planes in Ukraine then they wouldnt have invaded there. They dare not attack a NATO country which is why more Eastern European countries should join.,0,0,1,sir dave democracy I STAND WITH UKRAINE,the heart of sarcasm England 
"Smaller harvests loom from Argentina to Indonesia as the Russia-Ukraine war cuts global fertilizer supplies. “It’s like a scary movie,” a farmer says. https://t.co/GOqIyx6GLK",1,1,-1,Real Time Economics,"Washington, D.C."
@olgatokariuk I was with two Ukrainians last Sunday when one of their husband’s (who’d she’d married the day before leaving Ukraine) sent her a video of a phosphorus bomb. She was distraught.,0,0,-1,Henny,España
